country,city,lat,lon,2018
Japan,Tokyo,35.69,139.69,37393129
India,Delhi,28.67,77.22,30290936
China,Shanghai,31.22,121.46,27058479
Brazil,São Paulo,-23.55,-46.64,22043028
Mexico,Ciudad de México (Mexico City),19.43,-99.14,21782378
Bangladesh,Dhaka,23.71,90.41,21005860
Egypt,Al-Qahirah (Cairo),30.04,31.24,20900604
China,Beijing,39.91,116.40,20462610
India,Mumbai (Bombay),19.07,72.88,20411274
Japan,Kinki M.M.A. (Osaka),34.68,135.55,19165340
United States of America,New York-Newark,40.72,-74.00,18803552
Pakistan,Karachi,24.91,67.08,16093786
China,Chongqing,29.56,106.55,15872179
Turkey,Istanbul,41.01,28.95,15190336
Argentina,Buenos Aires,-34.61,-58.40,15153729
India,Kolkata (Calcutta),22.53,88.36,14850066
Nigeria,Lagos,6.45,3.40,14368332
Democratic Republic of the Congo,Kinshasa,-4.33,15.31,14342439
Philippines,Manila,14.60,120.98,13923452
China,Tianjin,39.11,117.19,13589078
Brazil,Rio de Janeiro,-22.90,-43.21,13458075
China,"Guangzhou, Guangdong",23.13,113.26,13301532
Pakistan,Lahore,31.55,74.34,12642423
Russian Federation,Moskva (Moscow),55.75,37.62,12537954
United States of America,Los Angeles-Long Beach-Santa Ana,34.03,-118.24,12446597
China,Shenzhen,22.54,114.06,12356820
India,Bangalore,12.97,77.59,12326532
France,Paris,48.85,2.35,11017230
Colombia,Bogotá,4.61,-74.08,10978360
India,Chennai (Madras),13.05,80.25,10971108
